Loc ID,Facility Name,City,State,Zip,Lat,Lon,Facility Type
12,Abraxas Academy Detention Center,New Morgan,PA,19543,40.191804,-75.91592,Juvenile Facility
13,High Desert Detention Facility,Adelanto,California,92301,34.54733,-117.457438,Intergovernmental Service Agreement
19,Baptist Child & Family Services,Fairfield,California,94533,38.271412,-122.05036,Intergovernmental Service Agreement
25,Baptist Child & Family Services,San Antonio,Texas,,,,Juvenile Facility
195,Baptist Child & Family Services-Baytown,Baytown,Texas,77520,29.784093,-95.056577,Juvenile Facility
24,Baptist Child & Family Services-HLG,Harlingen,Texas,78550,26.18927,-97.677629,Juvenile Facility
204,Baptist Child & Family Services-Ray,Raymondville,Texas,78580,26.451195,-97.798284,Juvenile Facility
20,Baptist Child & Family Services-SNA,San Antonio,Texas,,,,Juvenile Facility
21,Baptist Child & Family Services-TFC,Harlingen,Texas,78550,26.196926,-97.6776,Juvenile Facility
23,Baptist Child & Family Services Chavaneaux,San Antonio,Texas,78232,29.500236,-98.564065,
34,Bokencamp Children's Center,Corpus Christi,Texas,78412,27.717626,-97.349616,
236,Children's Village,Dobbs Ferry,New York,10522,41.002351,-73.863918,Juvenile Facility
251,Heartland International Children's Center (RC),Chicago,Illinois,60604,41.879188,-87.632431,Juvenile Facility
261,International Educational Services Shelter,Los Fresnos,Texas,78556,26.093355,-97.474344,Juvenile Facility
258,International Educational Services-Driscoll,Driscoll,Texas,78380,27.770369,-97.674879,Juvenile Facility
77,International Educational Services- San Benito,Harlingen,Texas,78550,26.16446,-97.680747,
257,International Educational Services- Casa Norma Linda,Los Fresnos,Texas,78556,26.073912,-97.529613,
154,Southwest Key - Casa Padre,Brownsville,Texas,78521,25.942765,-97.423553,
305,Southwest Key- Casa Kokopelli,Mesa,Arizona,85201,33.434288,-111.840893,
312,Southwest Key - Combes Facility,Harlingen,Texas,78552,26.239038,-97.729311,Juvenile Facility
313,Southwest Key - Conroe,Conroe,Texas,77304,30.371231,-95.512025,Juvenile Facility
156,Southwest Key - El Presidente,Brownsville,Texas,78521,25.944485,-97.450064,Juvenile Facility
321,Southwest Key - Nueva Esperanza,Brownsville,Texas,78526,25.97364,-97.511185,Juvenile Facility
323,Southwest Key - Rio Grande,San Benito,Texas,78586,26.135284,-97.621978,Juvenile Facility
309,Southwest Key Juvenile Shelter -Casa Phoenix,Phoenix,Arizona,85007,33.435893,-112.081549,Juvenile Facility
310,Southwest Keu- Casa Quetzal,Houston,Texas,77076,29.867325,-95.407965,
307,Southwest Key - Casa Montezuma,Channelview,Texas,77530,29.774495,-95.144718,
55,Del Rio  DRO Hold Room,Del Rio,Texas,78840,29.393092,-100.898853,
106,MVM Transport,El Paso,Texas,,,,
107,MVM Transport,Phoenix,Arizona,,,,
109,MVM Transport,San Diego,California,,,,
255,Homestead Temporary Shelter,Homestead,Florida,33039,25.499761,-80.392709,
